name,rating,review_time,variant,comment,like_count
A***i,5,Lebih dari 1 tahun lalu,,"Mantap pokoknya. Kualitasnya okey, bahanya okey , ukuran sesuai, garansi terjamin.",0
A***y,5,Lebih dari 1 tahun lalu,,alhamdulullah barang berfungsi dgn baik. semoga awet.,0
Bani,5,Lebih dari 1 tahun lalu,,baguss.. pengiriman juga cepet 1 hari langsung sampai respon seller juga baik,4
Liswarti,5,Lebih dari 1 tahun lalu,,"alhamdulilah paketnya udh sampe sesuai  pesanan ,tv berfungsi dgn baik  mantap puas belanja di toko ini ,terimakasih seker dan kurir yg amanah",1
R***a,5,Lebih dari 1 tahun lalu,,barang sangat bagus original adabgaransi juga thanks xiaomi the best,1
Fredi,5,Lebih dari 1 tahun lalu,,"keren, barang diterima dengan baik, aman...
semoga awet.",0
Veriana,5,Lebih dari 1 tahun lalu,,"Kualitas gambar jernih, suaranya mantap.. Barang sampai dengan selamat, pengiriman cepat.. alhamdulillah wishlist punya tv xiaomi terkabul.. terimakasih seller 👍",2
I,5,Lebih dari 1 tahun lalu,,kualitas bagus dengan harga affordable. semoga awet. Thank You,0
A***t,5,Lebih dari 1 tahun lalu,,"Bagus di harganya, kemaren beli yg A Pro 43 Qled warnanya bagus banget, ini yg 32 sayang belum ada yg led tapi gapapa asal warnanya masih ok",1
Atmanto,5,Lebih dari 1 tahun lalu,,"Barang aman mantap tidak lecet, meskipun pengiriman agak terlambat tapi tetap memuaskan, fitur2 berfungsi semua, thanks 🙏",2
a***s,5,Lebih dari 1 tahun lalu,,"Barang diterima dg baik, ga cacat dan ga pecah ataupun lecet walaupun packing hanya bubblewrap aja. Mungkin kedepannya bisa pakai packing kayu supaya lebih aman, ga khawa...",0
R***n,5,Lebih dari 1 tahun lalu,,pengiriman sangat cepat dan barangnya original keren pokok Xiaomi the best,0
C***z,5,Lebih dari 1 tahun lalu,,"Barang Original, Pengiriman Aman tp bikin degdegan karena cm pakai bubble wrap, Bisa chat Admin untuk memastikan.
Kualitas Gambar Standar, lebih bagus lg jika sudah FHD....",5
R***i,5,Lebih dari 1 tahun lalu,,"barang original, bagus, cuma minus di pengiriman aja lama",0
setia,5,Lebih dari 1 tahun lalu,,"***************************************
________
***********************************************************************
________


Nasi kebuli kini menjadi salah satu me...",0
I***k,5,Lebih dari 1 tahun lalu,,Segel rapih packing aman barang nya bagus kelengkapan oke,0
Fauzan,5,Lebih dari 1 tahun lalu,,"mantap pengiriman satset bgt coyyyyy, kualitas gausah diragukan",0
Achmad,5,Lebih dari 1 tahun lalu,,"mantap pelayanan cepat sehari sampai, garcep seler",1
M***a,5,Lebih dari 1 tahun lalu,,"barang original, pengiriman cepat, tv nya aman sampe rumah",1
